"ID","CAST","CAT"
0,"Ocupaciones militares","Ocupacions militars"
"001","Oficiales y suboficiales de las fuerzas armadas","Oficials i sotsoficials de les forces armades"
"0011","Oficiales de las fuerzas armadas","Oficials de les forces armades"
"0012","Suboficiales de las fuerzas armadas","Sotsoficials de les forces armades"
"0020","Tropa y marinería de las fuerzas armadas","Tropa i marineria de les forces armades"
1,"Directores y gerentes","Directors i gerents"
11,"Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos","Membres del poder executiu i dels cossos legislatius; personal directiu de l'Administració pública i d'organitzacions d'interès social; directors executius"
111,"Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social","Membres del poder executiu i dels cossos legislatius; personal directiu de l'Administració pública i d'organitzacions d'interès social"
1111,"Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo","Membres del poder executiu (nacional, autonòmic i local) i dels cossos legislatius"
1112,"Personal directivo de la Administración Pública","Personal directiu de l'Administració pública"
1113,"Directores de organizaciones de interés social","Directors d'organitzacions d'interès social"
1120,"Directores generales y presidentes ejecutivos","Directors generals i presidents executius"
12,"Directores de departamentos administrativos y comerciales","Directors de departaments administratius i comercials"
121,"Directores de departamentos administrativos","Directors de departaments administratius"
1211,"Directores financieros","Directors financers"
1212,"Directores de recursos humanos","Directors de recursos humans"
1219,"Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes","Directors de polítiques i planificació i d'altres departaments administratius ncaa"
122,"Directores comerciales, de publicidad, relaciones públicas y de investigación y desarrollo","Directors comercials, de publicitat, de relacions públiques i de recerca i desenvolupament"
1221,"Directores comerciales y de ventas","Directors comercials i de vendes"
1222,"Directores de publicidad y relaciones públicas","Directors de publicitat i relacions públiques"
1223,"Directores de investigación y desarrollo","Directors de recerca i desenvolupament"
13,"Directores de producción y operaciones","Directors de producció i operacions"
131,"Directores de producción de explotaciones agropecuarias, forestales y pesqueras, y de industrias manufactureras, de minería, construcción y distribución","Directors de producció d'explotacions agropecuàries, forestals i pesqueres, i d'indústries manufactureres, de mineria, construcció i distribució"
1311,"Directores de producción de explotaciones agropecuarias y forestales","Directors de producció d'explotacions agropecuàries i forestals"
1312,"Directores de producción de explotaciones pesqueras y acuícolas","Directors de producció d'explotacions pesqueres i aqüícoles"
1313,"Directores de industrias manufactureras","Directors d'indústries manufactureres"
1314,"Directores de explotaciones mineras","Directors d'explotacions mineres"
1315,"Directores de empresas de abastecimiento, transporte, distribución y afines","Directors d'empreses d'abastament, transport, distribució i similars"
1316,"Directores de empresas de construcción","Directors d'empreses de construcció"
132,"Directores de servicios de tecnologías de la información y las comunicaciones (TIC) y de empresas de servicios profesionales","Directors de serveis de tecnologies de la informació i la comunicació (TIC) i d'empreses de serveis professionals"
1321,"Directores de servicios de tecnologías de la información y las comunicaciones (TIC)","Directors de serveis de tecnologies de la informació i la comunicació (TIC)"
1322,"Directores de servicios sociales para niños","Directors de serveis socials per a infants"
1323,"Directores-gerentes de centros sanitarios","Directors gerents de centres sanitaris"
1324,"Directores de servicios sociales para personas mayores","Directors de serveis socials per a persones grans"
1325,"Directores de otros servicios sociales","Directors de serveis socials ncaa"
1326,"Directores de servicios de educación","Directors de serveis d'educació"
1327,"Directores de sucursales de bancos, de servicios financieros y de seguros","Directors de sucursals de bancs, de serveis financers i d'assegurances"
1329,"Directores de otras empresas de servicios profesionales no clasificados bajo otros epígrafes","Directors d'altres empreses de serveis professionals ncaa"
14,"Directores y gerentes de empresas de alojamiento, restauración y comercio","Directors i gerents d'empreses d'allotjament, restauració i comerç"
141,"Directores y gerentes de empresas de alojamiento","Directors i gerents d'empreses d'allotjament"
1411,"Directores y gerentes de hoteles","Directors i gerents d'hotels"
1419,"Directores y gerentes de otras empresas de servicios de alojamiento","Directors i gerents d'altres empreses de serveis d'allotjament"
142,"Directores y gerentes de empresas de restauración","Directors i gerents d'empreses de restauració"
1421,"Directores y gerentes de restaurantes","Directors i gerents de restaurants"
1422,"Directores y gerentes de bares, cafeterías y similares","Directors i gerents de bars, cafeteries i similars"
